Food,Ingredient,Origin
Flaugnarde,Powdered_sugar,France
Put_chai_ko,Sugar,Hong_Kong
Schneeball_(pastry),Butter,Germany
Schneeball_(pastry),Flour,Germany
Schneeball_(pastry),Shortcrust_pastry,Germany
Schneeball_(pastry),Cream,Germany
Schneeball_(pastry),Sugar,Germany
Schneeball_(pastry),Egg_(food),Germany
Schneeball_(pastry),Schnapps,Germany
Alicot,Poultry,France
Black_soup,Pig,Greece
Black_soup,Vinegar,Greece
Black_soup,Blood_as_food,Greece
Koulourakia,Butter,Greece
Mahallebi,Rose_water,Cyprus
Mahallebi,Wheat_flour,Cyprus
Mahallebi,Rose_water,Greece
Mahallebi,Wheat_flour,Greece
Baked_Alaska,Ice_cream,France
Baked_Alaska,Christmas_pudding,France
Baked_Alaska,Sponge_cake,France
Baked_Alaska,Meringue,France
XO_sauce,Canola,Hong_Kong
XO_sauce,Chili_pepper,Hong_Kong
XO_sauce,Conpoy,Hong_Kong
XO_sauce,Garlic,Hong_Kong
XO_sauce,Dried_shrimp,Hong_Kong
XO_sauce,Jinhua_ham,Hong_Kong
Shiro_(food),Chickpea,Ethiopia
Shiro_(food),Garlic,Ethiopia
Shiro_(food),Onion,Ethiopia
Shiro_(food),Vicia_faba,Ethiopia
Hachis_Parmentier,Sauce_lyonnaise,France
Hachis_Parmentier,Meat,France
Hachis_Parmentier,Potato,France
Yule_log_(cake),Chocolate,France
Yule_log_(cake),Icing_(food),France
Yule_log_(cake),Sponge_cake,France
Yule_log_(cake),Genoise,France
Uunijuusto,Milk,Finland
Uunijuusto,Colostrum,Finland
Uunijuusto,Egg_(food),Finland
Mozartkugel,Marzipan,Germany
Mozartkugel,Types_of_chocolate,Germany
Mozartkugel,Nougat,Germany
Pain_au_chocolat,Chocolate,France
Pain_au_chocolat,Bakers_yeast,France
Confiture_de_lait,Milk,France
Confiture_de_lait,Sugar,France
Jesuite,Pastry,France
Jesuite,Almond,France
Jesuite,Powdered_sugar,France
Jesuite,Frangipane,France
Dampfnudel,Butter,Germany
Dampfnudel,Flour,Germany
Dampfnudel,Sugar,Germany
Dampfnudel,Water,Germany
Dampfnudel,Egg_(food),Germany
Dampfnudel,Bakers_yeast,Germany
Dampfnudel,Margarine,Germany
Prusurate,Fruit,Croatia
Prusurate,Milk,Croatia
Prusurate,Sugar,Croatia
Prusurate,Dough,Croatia
Locrio,Salami,Dominican_Republic
Locrio,Guineafowl,Dominican_Republic
Tanta_wawa,Wheat,Ecuador
Kransekake,Sugar,Denmark
Kransekake,Egg_white,Denmark
Kransekake,Almond,Denmark
Baleada,Bean,Honduras
Baleada,Wheat_flour,Honduras
Zwieback,Flour,Germany
Zwieback,Sugar,Germany
Zwieback,Egg_(food),Germany
Injera,Rice,Ethiopia
Injera,Barley,Ethiopia
Injera,Maize,Ethiopia
Injera,Eragrostis_tef,Ethiopia
Lebkuchen,Cardamom,Germany
Lebkuchen,Clove,Germany
Lebkuchen,Ginger,Germany
Lebkuchen,Honey,Germany
Lebkuchen,Spice,Germany
Lebkuchen,Coriander,Germany
Lebkuchen,Hazelnut,Germany
Lebkuchen,Walnut,Germany
Lebkuchen,Allspice,Germany
Lebkuchen,Almond,Germany
Lebkuchen,Candied_fruit,Germany
Cassoulet,Goose,France
Cassoulet,Duck,France
Cassoulet,Meat,France
Cassoulet,Pork,France
Cassoulet,Lamb_and_mutton,France
Cassoulet,Phaseolus_vulgaris,France
Polenta,Water,France
Polenta,Stock_(food),France
Polenta,Cornmeal,France
Tarte_Tatin,Apple,France
Escargot,Snail,France
Escargot,Garlic_butter,France
Gugelhupf,Kirsch,Germany
Gugelhupf,Bakers_yeast,Germany
Gugelhupf,Almond,Germany
Macaroon,Egg_white,France
Macaroon,Almond,France
Magiritsa,Sheep,Greece
Maultasche,Onion,Germany
Maultasche,Spinach,Germany
Maultasche,Ground_meat,Germany
Maultasche,Smoked_meat,Germany
Maultasche,Bread_crumbs,Germany
Blanquette_de_veau,Butter,France
Blanquette_de_veau,Flour,France
Blanquette_de_veau,Cream,France
Blanquette_de_veau,Veal,France
Blanquette_de_veau,Mirepoix_(cuisine),France
Fondue,Seasoning,France
Fondue,Cheese,France
Fondue,Garlic,France
Fondue,Kirsch,France
Fondue,White_wine,France
Moussaka,Meat,Croatia
Moussaka,Potato,Croatia
Moussaka,Eggplant,Croatia
Moussaka,Meat,Greece
Moussaka,Potato,Greece
Moussaka,Eggplant,Greece
Pandebono,Cassava,Colombia
Pandebono,Corn_starch,Colombia
Pandebono,Cheese,Colombia
Pandebono,Egg_(food),Colombia
Profiterole,Custard,France
Profiterole,Ice_cream,France
Profiterole,Choux_pastry,France
Profiterole,Whipped_cream,France
Rillettes,Goose,France
Rillettes,Fat,France
Rillettes,Chicken,France
Rillettes,Duck,France
Rillettes,Pork,France
Rillettes,Salt,France
Rillettes,Game_(hunting),France
Rillettes,Rabbit,France
Kalakukko,Salmon,Finland
Kalakukko,Coregonus_albula,Finland
Kalakukko,European_perch,Finland
Butterkuchen,Butter,Germany
Butterkuchen,Flour,Germany
Butterkuchen,Sugar,Germany
Ham_and_egg_bun,Flour,Hong_Kong
Ham_and_egg_bun,Ham,Hong_Kong
Ham_and_egg_bun,Egg_(food),Hong_Kong
Ruske_kape,Coconut,Croatia
Ruske_kape,Chocolate,Croatia
Dobos_torte,Caramel,Hungary
Dobos_torte,Sponge_cake,Hungary
Dobos_torte,Buttercream,Hungary
Kushari,Macaroni,Egypt
Kushari,Rice,Egypt
Flamiche,Leek,France
Habichuelas_con_dulce,Butter,Dominican_Republic
Habichuelas_con_dulce,Cinnamon,Dominican_Republic
Habichuelas_con_dulce,Kidney_bean,Dominican_Republic
Habichuelas_con_dulce,Nutmeg,Dominican_Republic
Habichuelas_con_dulce,Sugar,Dominican_Republic
Habichuelas_con_dulce,Raisin,Dominican_Republic
Habichuelas_con_dulce,Evaporated_milk,Dominican_Republic
Habichuelas_con_dulce,Coconut_milk,Dominican_Republic
Moustalevria,Flour,Greece
Moustalevria,Must,Greece
Helmipuuro,Milk,Finland
Helmipuuro,Potato_starch,Finland
Haitian_patty,Puff_pastry,Haiti
Knieperkohl,Cabbage,Germany
Knieperkohl,Kale,Germany
Knieperkohl,Collard_greens,Germany
Kirschenmichel,Butter,Germany
Kirschenmichel,Milk,Germany
Kirschenmichel,Sugar,Germany
Kirschenmichel,Prunus_cerasus,Germany
Kirschenmichel,Egg_(food),Germany
Kulajda,Mushroom,Czech_Republic
Kulajda,Quail,Czech_Republic
Kulajda,Dill,Czech_Republic
Kulajda,Potato,Czech_Republic
Kulajda,Sour_cream,Czech_Republic
Suaasat,Meat,Greenland
Suaasat,Onion,Greenland
Suaasat,Potato,Greenland
Suaasat,Reindeer,Greenland
Suaasat,Whale_meat,Greenland
Bar-le-duc_jelly,Ribes,France
Bar-le-duc_jelly,Redcurrant,France
Tartiflette,Onion,France
Tartiflette,Potato,France
Tartiflette,Reblochon,France
Tartiflette,Lardon,France
Floating_island_(dessert),Milk,France
Floating_island_(dessert),Sugar,France
Floating_island_(dessert),Vanilla,France
Floating_island_(dessert),Vanilla_extract,France
Floating_island_(dessert),Meringue,France
Floating_island_(dessert),Crème_anglaise,France
Nuomici,Coconut,Hong_Kong
Nuomici,Glutinous_rice,Hong_Kong
Saang_mein,Tapioca,Hong_Kong
Saang_mein,Water,Hong_Kong
Saang_mein,Salt,Hong_Kong
Saang_mein,Potassium_carbonate,Hong_Kong
Saang_mein,Wheat_flour,Hong_Kong
Sauce_vierge,Olive_oil,France
Sauce_vierge,Basil,France
Sauce_vierge,Tomato,France
Sauce_vierge,Lemon,France
Flatkaka,Rye,Iceland
Panada,Bread,France
Sol_over_Gudhjem,Herring,Denmark
Sol_over_Gudhjem,Chives,Denmark
Sol_over_Gudhjem,Yolk,Denmark
Sol_over_Gudhjem,Rugbrød,Denmark
Streuselkuchen,Flour,Germany
Streuselkuchen,Fat,Germany
Streuselkuchen,Sugar,Germany
Curtido,Cabbage,El_Salvador
Curtido,Carrot,El_Salvador
Curtido,Onion,El_Salvador
Wibele,Flour,Germany
Wibele,Vanilla_sugar,Germany
Wibele,Egg_white,Germany
Wibele,Powdered_sugar,Germany
Mendiant,Chocolate,France
Mendiant,Nut_(fruit),France
Risalamande,Vanilla,Denmark
Risalamande,Rice_pudding,Denmark
Risalamande,Whipped_cream,Denmark
Raspeball,Potato,Germany
Galette-saucisse,Galette,France
Jau_gok,Glutinous_rice,Hong_Kong
Fit-fit,Niter_kibbeh,Eritrea
Fit-fit,Niter_kibbeh,Ethiopia
Bouillon_(broth),Shrimp,France
Bouillon_(broth),Beef,France
Bouillon_(broth),Poultry,France
Bouillon_(broth),Veal,France
Bouillon_(broth),Herb,France
Bouillon_(broth),Vegetable,France
Bouillon_(broth),Mirepoix_(cuisine),France
Bouillon_(soup),Cabbage,Haiti
Bouillon_(soup),Kelp,Haiti
Bouillon_(soup),Cooking_plantain,Haiti
Bouillon_(soup),Meat,Haiti
Bouillon_(soup),Celery,Haiti
Bouillon_(soup),Potato,Haiti
Bouillon_(soup),Yam_(vegetable),Haiti
Gulab_jamun,Saffron,Guyana
Gulab_jamun,Khoa,Guyana
Karelian_hot_pot,Beef,Finland
Karelian_hot_pot,Meat,Finland
Karelian_hot_pot,Black_pepper,Finland
Karelian_hot_pot,Lamb_and_mutton,Finland
Karelian_pasty,Butter,Finland
Karelian_pasty,Rice,Finland
Karelian_pasty,Rye,Finland
Karelian_pasty,Wheat_flour,Finland
Wurstbrot,Sausage,Germany
Wurstbrot,Bread,Germany
Wurstbrot,Cold_cut,Germany
Parfait,Syrup,France
Parfait,Cream,France
Parfait,Egg_(food),France
Blachindla,Pumpkin,Germany
Bremer_Klaben,Butter,Germany
Bremer_Klaben,Flour,Germany
Bremer_Klaben,Sugar,Germany
Bremer_Klaben,Dried_fruit,Germany
Bremer_Klaben,Zest_(ingredient),Germany
Bremer_Klaben,Rum,Germany
Bremer_Klaben,Bakers_yeast,Germany
Bremer_Klaben,Almond,Germany
Galaktoboureko,Semolina_pudding,Greece
Galaktoboureko,Filo,Greece
Frankfurter_Kranz,Cherry,Germany
Frankfurter_Kranz,Blackcurrant,Germany
Frankfurter_Kranz,Brittle_(food),Germany
Frankfurter_Kranz,Hazelnut,Germany
Frankfurter_Kranz,Sponge_cake,Germany
Frankfurter_Kranz,Strawberry_Jam,Germany
Frankfurter_Kranz,Almond,Germany
Frankfurter_Kranz,Buttercream,Germany
Obatzda,Butter,Germany
Obatzda,Beer,Germany
Obatzda,Camembert,Germany
Obatzda,Paprika,Germany
Obatzda,Salt,Germany
Obatzda,Black_pepper,Germany
Coleslaw,Cabbage,Germany
Coleslaw,Mayonnaise,Germany
Coleslaw,Vinegar,Germany
Coleslaw,Vinaigrette,Germany
Coleslaw,Vegetable_oil,Germany
Greek_salad,Feta,Greece
Greek_salad,Olive_oil,Greece
Greek_salad,Cucumber,Greece
Greek_salad,Onion,Greece
Greek_salad,Oregano,Greece
Greek_salad,Tomato,Greece
Greek_salad,Salt,Greece
Greek_salad,Olive,Greece
Taramasalata,Carp,Greece
Taramasalata,Roe,Greece
Taramasalata,Olive_oil,Greece
Taramasalata,Vinegar,Greece
Taramasalata,Mashed_potato,Greece
Taramasalata,Bread_crumbs,Greece
Calisson,Almond_meal,France
Calisson,Fondant_icing,France
Calisson,Candied_fruit,France
Gummi_candy,Gelatin,Germany
Paper_wrapped_cake,Chiffon_cake,Hong_Kong
Red_bean_ice,Rock_sugar,Hong_Kong
Red_bean_ice,Adzuki_bean,Hong_Kong
Red_bean_ice,Evaporated_milk,Hong_Kong
Prinzregententorte,Sponge_cake,Germany
Prinzregententorte,Buttercream,Germany
Coconut_rice,Coconut,Colombia
Coconut_rice,Rice,Colombia
Houska,Water,Czech_Republic
Houska,Caraway,Czech_Republic
Houska,Poppy_seed,Czech_Republic
Houska,Salt,Czech_Republic
Houska,Sea_salt,Czech_Republic
Houska,Bakers_yeast,Czech_Republic
Houska,Wheat_flour,Czech_Republic
Ischoklad,Chocolate,Germany
Ischoklad,Coconut_oil,Germany
Faluche_(bread),Flour,France
Faluche_(bread),Bakers_yeast,France
Eggies,Butter,Hong_Kong
Eggies,Flour,Hong_Kong
Eggies,Sugar,Hong_Kong
Eggies,Evaporated_milk,Hong_Kong
Eggies,Egg_(food),Hong_Kong
Melomakarono,Honey,Greece
Melomakarono,Olive_oil,Greece
Melomakarono,Semolina,Greece
Colocasia_with_lamb,Taro,Cyprus
Colocasia_with_lamb,Lamb_and_mutton,Cyprus
Colocasia_with_lamb,Taro,Greece
Colocasia_with_lamb,Lamb_and_mutton,Greece
Bavarian_cream,Custard,France
Bavarian_cream,Gelatin,France
Brunswick_stew,Meat,Germany
Brunswick_stew,Maize,Germany
Brunswick_stew,Okra,Germany
Brunswick_stew,Tomato,Germany
Brunswick_stew,Phaseolus_lunatus,Germany
Brunswick_stew,Vegetable,Germany
Charlotte_(cake),Custard,France
Charlotte_(cake),Biscuit,France
Charlotte_(cake),Fruit,France
Charlotte_(cake),Bread,France
Charlotte_(cake),Sponge_cake,France
Danish_pastry,Butter,Denmark
Danish_pastry,Milk,Denmark
Danish_pastry,Yeast,Denmark
Danish_pastry,Egg_(food),Denmark
Danish_pastry,Wheat_flour,Denmark
Galette,Flour,France
Mille-feuille,Custard,France
Mille-feuille,Puff_pastry,France
Mille-feuille,Powdered_sugar,France
Pommes_dauphine,Choux_pastry,France
Pommes_dauphine,Mashed_potato,France
Rum_baba,Butter,France
Rum_baba,Milk,France
Rum_baba,Egg_(food),France
Rum_baba,Rum,France
Beef_bourguignon,Beef,France
Beef_bourguignon,Garlic,France
Beef_bourguignon,Onion,France
Beef_bourguignon,Bouquet_garni,France
Beef_bourguignon,Edible_mushroom,France
Beef_bourguignon,Red_wine,France
Beef_bourguignon,Pearl_onion,France
Berliner_(doughnut),Sugar,Germany
Berliner_(doughnut),Yeast,Germany
Berliner_(doughnut),Icing_(food),Germany
Berliner_(doughnut),Fruit_preserves,Germany
Berliner_(doughnut),Marmalade,Germany
Berliner_(doughnut),Powdered_sugar,Germany
Bisque_(food),Crab,France
Bisque_(food),Shrimp,France
Bisque_(food),Crayfish,France
Bisque_(food),Rice,France
Bisque_(food),Crustacean,France
Bisque_(food),Popcorn,France
Frankfurter_Rindswurst,Beef,Germany
Gyro_(food),Pita,Greece
Gyro_(food),Tzatziki,Greece
Gyro_(food),Beef,Greece
Gyro_(food),Chicken,Greece
Gyro_(food),Onion,Greece
Gyro_(food),Tomato,Greece
Gyro_(food),Pork,Greece
Gyro_(food),Lamb_and_mutton,Greece
Mute_(soup),Beef,Colombia
Mute_(soup),Maize,Colombia
Mute_(soup),Potato,Colombia
Mute_(soup),Pork,Colombia
Mute_(soup),Vegetable,Colombia
Pan-bagnat,White_bread,France
Pan-bagnat,Anchovy,France
Pan-bagnat,Olive_oil,France
Pan-bagnat,Onion,France
Pan-bagnat,Tomato,France
Pan-bagnat,Pain_de_campagne,France
Pan-bagnat,Black_pepper,France
Pan-bagnat,Egg_(food),France
Pan-bagnat,Olive,France
Pan-bagnat,Salad_Niçoise,France
Anise_of_Flavigny,Syrup,France
Anise_of_Flavigny,Flavor,France
Anise_of_Flavigny,Anise,France
Ful_medames,Vegetable_oil,Egypt
Ful_medames,Cumin,Egypt
Ful_medames,Vicia_faba,Egypt
Black_Forest_cake,Prunus_cerasus,Germany
Black_Forest_cake,Kirsch,Germany
Black_Forest_cake,Whipped_cream,Germany
Black_Forest_cake,Chocolate_cake,Germany
Cart_noodle,Flour,Hong_Kong
Cart_noodle,Egg_(food),Hong_Kong
Toast_Hawaii,Maraschino_cherry,Germany
Toast_Hawaii,Pineapple,Germany
Toast_Hawaii,Ham,Germany
Toast_Hawaii,Cheese,Germany
Toast_Hawaii,Toast,Germany
Deuk_Deuk_Tong,Ginger,Hong_Kong
Deuk_Deuk_Tong,Maltose,Hong_Kong
Deuk_Deuk_Tong,Sesame,Hong_Kong
Madeleine_(cake),Flour,France
Madeleine_(cake),Sugar,France
Madeleine_(cake),Egg_(food),France
Madeleine_(cake),Almond,France
Wat_(food),Beef,Eritrea
Wat_(food),Meat,Eritrea
Wat_(food),Spice,Eritrea
Wat_(food),Lamb_and_mutton,Eritrea
Wat_(food),Vegetable,Eritrea
Wat_(food),Niter_kibbeh,Eritrea
Wat_(food),Beef,Ethiopia
Wat_(food),Meat,Ethiopia
Wat_(food),Spice,Ethiopia
Wat_(food),Lamb_and_mutton,Ethiopia
Wat_(food),Vegetable,Ethiopia
Wat_(food),Niter_kibbeh,Ethiopia
Rab_cake,Almond,Croatia
Rab_cake,Maraschino,Croatia
Gaisburger_Marsch,Meat,Germany
Gaisburger_Marsch,Potato,Germany
Gaisburger_Marsch,Broth,Germany
Gaisburger_Marsch,Spätzle,Germany
Talo_(food),Water,France
Talo_(food),Maize,France
Talo_(food),Salt,France
Dariole,Puff_pastry,France
Dariole,Almond,France
Marble_cake,Batter_(cooking),Denmark
Cervelle_de_canut,Fromage_blanc,France
Cervelle_de_canut,Olive_oil,France
Cervelle_de_canut,Shallot,France
Cervelle_de_canut,Vinegar,France
Cervelle_de_canut,Salt,France
Cervelle_de_canut,Black_pepper,France
Cervelle_de_canut,Herb,France
Kelewele,Cooking_plantain,Ghana
Kelewele,Spice,Ghana
Steamed_meatball,Beef,Hong_Kong
Shirred_eggs,Egg_(food),France
Oil_Down,Breadfruit,Grenada
Oil_Down,Spice,Grenada
Oil_Down,Coconut_milk,Grenada
Oil_Down,Chicken_(food),Grenada
Chapea,Cooking_plantain,Dominican_Republic
Chapea,Rice,Dominican_Republic
Chapea,Cucurbita,Dominican_Republic
Chapea,Longaniza,Dominican_Republic
Donauwelle,Butter,Germany
Donauwelle,Flour,Germany
Donauwelle,Chocolate,Germany
Donauwelle,Sugar,Germany
Donauwelle,Prunus_cerasus,Germany
Donauwelle,Egg_(food),Germany
Donauwelle,Cocoa_solids,Germany
Donauwelle,Buttercream,Germany
Kommissbrot,Rye,Germany
Kommissbrot,Wheat_flour,Germany
Bratwurst,Beef,Germany
Bratwurst,Meat,Germany
Bratwurst,Pork,Germany
Coq_au_vin,Wine,France
Coq_au_vin,Garlic,France
Coq_au_vin,Chicken_(food),France
Coq_au_vin,Edible_mushroom,France
Coq_au_vin,Lardon,France
Goulash,Noodle,Hungary
Goulash,Meat,Hungary
Goulash,Spice,Hungary
Goulash,Paprika,Hungary
Goulash,Vegetable,Hungary
Hot_dog,Chicken,Germany
Margarine,Vegetable_oil,France
Praline,Syrup,France
Praline,Chocolate,France
Praline,Nut_(fruit),France
Quiche,Custard,France
Quiche,Cheese,France
Quiche,Meat,France
Quiche,Seafood,France
Quiche,Vegetable,France
Pommes_Anna,Butter,France
Pommes_Anna,Potato,France
Shrimp_roe_noodles,Monosodium_glutamate,Hong_Kong
Shrimp_roe_noodles,Tapioca,Hong_Kong
Shrimp_roe_noodles,Shrimp,Hong_Kong
Shrimp_roe_noodles,Salt,Hong_Kong
Norman_Tart,Shortcrust_pastry,France
Norman_Tart,Sugar,France
Norman_Tart,Almond,France
Norman_Tart,Apple,France
Kottenbutter,Butter,Germany
Kottenbutter,Onion,Germany
Kottenbutter,Mustard_(condiment),Germany
Kottenbutter,Brown_bread,Germany
Axoa,Espelette_pepper,France
Axoa,Veal,France
Axoa,Onion,France
Axoa,Tomato,France
Egg_waffle,Flour,Hong_Kong
Egg_waffle,Sugar,Hong_Kong
Egg_waffle,Evaporated_milk,Hong_Kong
Egg_waffle,Egg_(food),Hong_Kong
Himbasha,Cardamom,Eritrea
Himbasha,Cardamom,Ethiopia
Persipan,Sugar,Germany
Persipan,Apricot,Germany
Persipan,Peach,Germany
Croustade,Puff_pastry,France
Croustade,Flaky_pastry,France
Kig_ha_farz,Meat,France
Kig_ha_farz,Pudding,France
Kig_ha_farz,Broth,France
Gundel_pancake,Cream,Hungary
Gundel_pancake,Raisin,Hungary
Gundel_pancake,Walnut,Hungary
Gundel_pancake,Cocoa_solids,Hungary
Gundel_pancake,Rum,Hungary
Gundel_pancake,Chocolate_syrup,Hungary
Piperade,Bell_pepper,France
Piperade,Espelette_pepper,France
Piperade,Onion,France
Piperade,Tomato,France
Remonce,Butter,Denmark
Remonce,Sugar,Denmark
Rinderbraten,Lard,Germany
Rinderbraten,Round_steak,Germany
Saucisson,Pork,France
Zwiebelkuchen,Bacon,Germany
Zwiebelkuchen,Cream,Germany
Zwiebelkuchen,Caraway,Germany
Zwiebelkuchen,Onion,Germany
Zwiebelkuchen,Dough,Germany
Mlinci,Flour,Croatia
Chouquette,Nib_sugar,France
Chouquette,Custard,France
Chouquette,Choux_pastry,France
Chouquette,Mousse,France
Fritule,Brandy,Croatia
Fritule,Raisin,Croatia
Fritule,Batter_(cooking),Croatia
Fritule,Zest_(ingredient),Croatia
Fritule,Powdered_sugar,Croatia
Sopa_de_pata,Cassava,El_Salvador
Sopa_de_pata,Sweet_corn,El_Salvador
Sopa_de_pata,Tripe,El_Salvador
Sopa_de_pata,Banana,El_Salvador
Sopa_de_pata,Chayote,El_Salvador
Sopa_de_pata,Green_bean,El_Salvador
Cotriade,Potato,France
Cotriade,Fish_as_food,France
Dominostein,Marzipan,Germany
Dominostein,Chocolate,Germany
Dominostein,Apricot,Germany
Dominostein,Prunus_cerasus,Germany
Dominostein,Lebkuchen,Germany
Dominostein,Persipan,Germany
Beef_chow_fun,Soy_sauce,Hong_Kong
Beef_chow_fun,Onion,Hong_Kong
Beef_chow_fun,Bean_sprout,Hong_Kong
Sour_cherry_soup,Sugar,Hungary
Sour_cherry_soup,Prunus_cerasus,Hungary
Sour_cherry_soup,Sour_cream,Hungary
Macaron,Almond_meal,France
Macaron,Sucrose,France
Macaron,Fruit_preserves,France
Macaron,Food_coloring,France
Macaron,Egg_white,France
Macaron,Powdered_sugar,France
Macaron,Buttercream,France
Macaron,Ganache,France
Tapenade,Anchovy,France
Tapenade,Olive_oil,France
Tapenade,Caper,France
Tapenade,Olive,France
Fritelli,Chestnut,France
Llapingacho,Cassava,Ecuador
Llapingacho,Cheese,Ecuador
Llapingacho,Mashed_potato,Ecuador
Aligot,Butter,France
Aligot,Cream,France
Aligot,Cheese,France
Aligot,Garlic,France
Aligot,Mashed_potato,France
Baeckeoffe,Beef,France
Baeckeoffe,Onion,France
Baeckeoffe,Potato,France
Baeckeoffe,Pork,France
Baeckeoffe,White_wine,France
Baeckeoffe,Juniper_berry,France
Baeckeoffe,Lamb_and_mutton,France
Truffade,Potato,France
Kasseropita,Kasseri,Greece
Kasseropita,Filo,Greece
Cuban_espresso,Espresso,Cuba
Cuban_espresso,Brown_sugar,Cuba
Bichon_au_citron,Puff_pastry,France
Bichon_au_citron,Sugar,France
Runeberg_torte,Sugar,Finland
Runeberg_torte,Arrack,Finland
Runeberg_torte,Raspberry,Finland
Runeberg_torte,Rum,Finland
Runeberg_torte,Almond,Finland
Daktyla,Wheat,Greece
Daktyla,Cornmeal,Greece
Lahoh,Flour,Djibouti
Lahoh,Water,Djibouti
Lahoh,Bakers_yeast,Djibouti
Kitcha,Flour,Eritrea
Kitcha,Water,Eritrea
Kitcha,Salt,Eritrea
Kitcha,Flour,Ethiopia
Kitcha,Water,Ethiopia
Kitcha,Salt,Ethiopia
Ragout_fin,Butter,France
Ragout_fin,Tongue,France
Ragout_fin,Agaricus_bisporus,France
Ragout_fin,Roux,France
Ragout_fin,Brain,France
Ragout_fin,Sweetbread,France
Ragout_fin,Veal,France
Ragout_fin,Fish,France
Ragout_fin,Bone_marrow,France
Ragout_fin,Chicken_(food),France
Ragout_fin,Yolk,France
Lihapiirakka,Rice,Finland
Baumkuchen,Butter,Germany
Baumkuchen,Flour,Germany
Baumkuchen,Sugar,Germany
Baumkuchen,Vanilla,Germany
Baumkuchen,Egg_(food),Germany
Rumtopf,Fruit,Denmark
Rumtopf,Sugar,Denmark
Rumtopf,Rum,Denmark
Rumtopf,Fruit,Germany
Rumtopf,Sugar,Germany
Rumtopf,Rum,Germany
Currywurst,Curry_ketchup,Germany
Currywurst,Pork,Germany
Fasolada,Olive_oil,Cyprus
Fasolada,Vegetable,Cyprus
Fasolada,Phaseolus_vulgaris,Cyprus
Fasolada,Olive_oil,Greece
Fasolada,Vegetable,Greece
Fasolada,Phaseolus_vulgaris,Greece
Hasenpfeffer,Wine,Germany
Hasenpfeffer,Onion,Germany
Hasenpfeffer,Hare,Germany
Hasenpfeffer,Rabbit,Germany
Strudel,Filo,Hungary
Pupusa,Refried_beans,El_Salvador
Pupusa,Cheese,El_Salvador
Proja,Mineral_water,Croatia
Proja,Baking_powder,Croatia
Proja,Oil,Croatia
Proja,Cornmeal,Croatia
Giouvetsi,Bay_leaf,Greece
Giouvetsi,Beef,Greece
Giouvetsi,Meat,Greece
Giouvetsi,Pasta,Greece
Giouvetsi,Tomato_sauce,Greece
Giouvetsi,Lamb_and_mutton,Greece
Liver_soup,Ginger,China
Liver_soup,Soy_sauce,China
Liver_soup,Pork,China
Turtle_soup,Turtle,China
Bougatsa,Cheese,Greece
Bougatsa,Ground_meat,Greece
Bougatsa,Semolina,Greece
Bougatsa,Filo,Greece
Jook-sing_noodles,Flour,China
Jook-sing_noodles,Egg_(food),China
Tuna_bun,Flour,Hong_Kong
Tuna_bun,Tuna,Hong_Kong
Paomo,Lamb_and_mutton,China
Sumaghiyyeh,Sumac,Gaza_Strip
Swiss_Wing,Ginger,Hong_Kong
Swiss_Wing,Soy_sauce,Hong_Kong
Swiss_Wing,Sugar,Hong_Kong
Swiss_Wing,Garlic,Hong_Kong
Swiss_Wing,Onion,Hong_Kong
Swiss_Wing,Black_pepper,Hong_Kong
Swiss_Wing,Illicium_verum,Hong_Kong
Swiss_Wing,Buffalo_wing,Hong_Kong
Kouign_patatez,Flour,France
Kouign_patatez,Potato,France
Kompyang,Flour,China
Kompyang,Onion,China
Kompyang,Lard,China
Kyselo,Sourdough,Czech_Republic
Kyselo,Mushroom,Czech_Republic
Kyselo,Caraway,Czech_Republic
Peanut_butter_bun,Peanut_butter,Hong_Kong
Tollatsch,Flour,Germany
Tollatsch,Sugar,Germany
Tollatsch,Gribenes,Germany
Tollatsch,Raisin,Germany
Tollatsch,Pork,Germany
Tollatsch,Lebkuchen,Germany
Tollatsch,Schmaltz,Germany
Tollatsch,Bread_crumbs,Germany
Tollatsch,Almond,Germany
Water_chestnut_cake,Eleocharis_dulcis,China
Char_siu,Soy_sauce,China
Char_siu,Sherry,China
Char_siu,Five-spice_powder,China
Char_siu,Honey,China
Char_siu,Pork,China
Char_siu,Hoisin_sauce,China
Char_siu,Huangjiu,China
Char_siu,Fermented_bean_curd,China
Mango_pomelo_sago,Sago,Hong_Kong
Mango_pomelo_sago,Cream,Hong_Kong
Mango_pomelo_sago,Sugar,Hong_Kong
Mango_pomelo_sago,Mango,Hong_Kong
Mango_pomelo_sago,Coconut_milk,Hong_Kong
Mango_pomelo_sago,Pomelo,Hong_Kong
White_cut_chicken,Ginger,China
White_cut_chicken,Scallion,China
White_cut_chicken,Chicken,China
White_cut_chicken,Coriander,China
White_cut_chicken,Ginger,Hong_Kong
White_cut_chicken,Scallion,Hong_Kong
White_cut_chicken,Chicken,Hong_Kong
White_cut_chicken,Coriander,Hong_Kong
Buckwheat_gateau,Yogurt,Germany
Buckwheat_gateau,Chocolate,Germany
Buckwheat_gateau,Cranberry,Germany
Buckwheat_gateau,Honey,Germany
Buckwheat_gateau,Buckwheat,Germany
Buckwheat_gateau,Whipped_cream,Germany
Buddhas_delight,Soy_sauce,China
Buddhas_delight,Vegetable,China
Butter_tea,Tea,China
Butter_tea,Yak_butter,China
Butter_tea,Salt,China
Cantonese_seafood_soup,Seafood,China
Pigeon_pie,Columbidae,France
Wonton_noodles,Flour,China
