Food,ingr1,ingr2,ingr3,ingr4,ingr5,ingr6,ingr7,ingr8,ingr9,ingr10,ingr11,ingr12,ingr13,ingr14,ingr15,ingr16,ingr17,ingr18,ingr19,ingr20,Origin
Curtido,Cabbage,Carrot,Onion,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Wibele,Flour,Vanilla_sugar,Egg_white,Powdered_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mendiant,Chocolate,Nut_(fruit),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Risalamande,Vanilla,Rice_pudding,Whipped_cream,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Raspeball,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Galette-saucisse,Galette,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Jau_gok,Glutinous_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fit-fit,Niter_kibbeh,Niter_kibbeh,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bouillon_(broth),Shrimp,Beef,Poultry,Veal,Herb,Vegetable,Mirepoix_(cuisine),?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bouillon_(soup),Cabbage,Kelp,Cooking_plantain,Meat,Celery,Potato,Yam_(vegetable),?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gulab_jamun,Saffron,Khoa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Karelian_hot_pot,Beef,Meat,Black_pepper,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Karelian_pasty,Butter,Rice,Rye,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Wurstbrot,Sausage,Bread,Cold_cut,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Parfait,Syrup,Cream,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Blachindla,Pumpkin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bremer_Klaben,Butter,Flour,Sugar,Dried_fruit,Zest_(ingredient),Rum,Bakers_yeast,Almond,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Galaktoboureko,Semolina_pudding,Filo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Frankfurter_Kranz,Cherry,Blackcurrant,Brittle_(food),Hazelnut,Sponge_cake,Strawberry_Jam,Almond,Buttercream,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Obatzda,Butter,Beer,Camembert,Paprika,Salt,Black_pepper,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Coleslaw,Cabbage,Mayonnaise,Vinegar,Vinaigrette,Vegetable_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Greek_salad,Feta,Olive_oil,Cucumber,Onion,Oregano,Tomato,Salt,Olive,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Taramasalata,Carp,Roe,Olive_oil,Vinegar,Mashed_potato,Bread_crumbs,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Calisson,Almond_meal,Fondant_icing,Candied_fruit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gummi_candy,Gelatin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Paper_wrapped_cake,Chiffon_cake,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Red_bean_ice,Rock_sugar,Adzuki_bean,Evaporated_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Prinzregententorte,Sponge_cake,Buttercream,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Coconut_rice,Coconut,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Houska,Water,Caraway,Poppy_seed,Salt,Sea_salt,Bakers_yeast,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ischoklad,Chocolate,Coconut_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Faluche_(bread),Flour,Bakers_yeast,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Eggies,Butter,Flour,Sugar,Evaporated_milk,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Melomakarono,Honey,Olive_oil,Semolina,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Colocasia_with_lamb,Taro,Lamb_and_mutton,Taro,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bavarian_cream,Custard,Gelatin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Brunswick_stew,Meat,Maize,Okra,Tomato,Phaseolus_lunatus,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Charlotte_(cake),Custard,Biscuit,Fruit,Bread,Sponge_cake,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Danish_pastry,Butter,Milk,Yeast,Egg_(food),Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Galette,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mille-feuille,Custard,Puff_pastry,Powdered_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pommes_dauphine,Choux_pastry,Mashed_potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rum_baba,Butter,Milk,Egg_(food),Rum,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Beef_bourguignon,Beef,Garlic,Onion,Bouquet_garni,Edible_mushroom,Red_wine,Pearl_onion,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Berliner_(doughnut),Sugar,Yeast,Icing_(food),Fruit_preserves,Marmalade,Powdered_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bisque_(food),Crab,Shrimp,Crayfish,Rice,Crustacean,Popcorn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Frankfurter_Rindswurst,Beef,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gyro_(food),Pita,Tzatziki,Beef,Chicken,Onion,Tomato,Pork,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mute_(soup),Beef,Maize,Potato,Pork,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pan-bagnat,White_bread,Anchovy,Olive_oil,Onion,Tomato,Pain_de_campagne,Black_pepper,Egg_(food),Olive,Salad_Niçoise,?,?,?,?,?,?,?,?,?,?,Other_region
Anise_of_Flavigny,Syrup,Flavor,Anise,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ful_medames,Vegetable_oil,Cumin,Vicia_faba,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Black_Forest_cake,Prunus_cerasus,Kirsch,Whipped_cream,Chocolate_cake,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cart_noodle,Flour,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Toast_Hawaii,Maraschino_cherry,Pineapple,Ham,Cheese,Toast,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Deuk_Deuk_Tong,Ginger,Maltose,Sesame,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Madeleine_(cake),Flour,Sugar,Egg_(food),Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Wat_(food),Beef,Meat,Spice,Lamb_and_mutton,Vegetable,Niter_kibbeh,Beef,Meat,Spice,Lamb_and_mutton,Vegetable,Niter_kibbeh,?,?,?,?,?,?,?,?,Other_region
Rab_cake,Almond,Maraschino,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gaisburger_Marsch,Meat,Potato,Broth,Spätzle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Talo_(food),Water,Maize,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Dariole,Puff_pastry,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Marble_cake,Batter_(cooking),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cervelle_de_canut,Fromage_blanc,Olive_oil,Shallot,Vinegar,Salt,Black_pepper,Herb,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kelewele,Cooking_plantain,Spice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Steamed_meatball,Beef,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shirred_eggs,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Oil_Down,Breadfruit,Spice,Coconut_milk,Chicken_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chapea,Cooking_plantain,Rice,Cucurbita,Longaniza,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Donauwelle,Butter,Flour,Chocolate,Sugar,Prunus_cerasus,Egg_(food),Cocoa_solids,Buttercream,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kommissbrot,Rye,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bratwurst,Beef,Meat,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Coq_au_vin,Wine,Garlic,Chicken_(food),Edible_mushroom,Lardon,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Goulash,Noodle,Meat,Spice,Paprika,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hot_dog,Chicken,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Margarine,Vegetable_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Praline,Syrup,Chocolate,Nut_(fruit),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Quiche,Custard,Cheese,Meat,Seafood,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pommes_Anna,Butter,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shrimp_roe_noodles,Monosodium_glutamate,Tapioca,Shrimp,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Norman_Tart,Shortcrust_pastry,Sugar,Almond,Apple,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kottenbutter,Butter,Onion,Mustard_(condiment),Brown_bread,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Axoa,Espelette_pepper,Veal,Onion,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Egg_waffle,Flour,Sugar,Evaporated_milk,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Himbasha,Cardamom,Cardamom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Persipan,Sugar,Apricot,Peach,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Croustade,Puff_pastry,Flaky_pastry,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kig_ha_farz,Meat,Pudding,Broth,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gundel_pancake,Cream,Raisin,Walnut,Cocoa_solids,Rum,Chocolate_syrup,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Piperade,Bell_pepper,Espelette_pepper,Onion,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Remonce,Butter,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rinderbraten,Lard,Round_steak,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Saucisson,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Zwiebelkuchen,Bacon,Cream,Caraway,Onion,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mlinci,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chouquette,Nib_sugar,Custard,Choux_pastry,Mousse,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fritule,Brandy,Raisin,Batter_(cooking),Zest_(ingredient),Powdered_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sopa_de_pata,Cassava,Sweet_corn,Tripe,Banana,Chayote,Green_bean,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cotriade,Potato,Fish_as_food,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Dominostein,Marzipan,Chocolate,Apricot,Prunus_cerasus,Lebkuchen,Persipan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Beef_chow_fun,Soy_sauce,Onion,Bean_sprout,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sour_cherry_soup,Sugar,Prunus_cerasus,Sour_cream,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Macaron,Almond_meal,Sucrose,Fruit_preserves,Food_coloring,Egg_white,Powdered_sugar,Buttercream,Ganache,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tapenade,Anchovy,Olive_oil,Caper,Olive,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fritelli,Chestnut,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Llapingacho,Cassava,Cheese,Mashed_potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Aligot,Butter,Cream,Cheese,Garlic,Mashed_potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Baeckeoffe,Beef,Onion,Potato,Pork,White_wine,Juniper_berry,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Truffade,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kasseropita,Kasseri,Filo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cuban_espresso,Espresso,Brown_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bichon_au_citron,Puff_pastry,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Runeberg_torte,Sugar,Arrack,Raspberry,Rum,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Daktyla,Wheat,Cornmeal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lahoh,Flour,Water,Bakers_yeast,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kitcha,Flour,Water,Salt,Flour,Water,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ragout_fin,Butter,Tongue,Agaricus_bisporus,Roux,Brain,Sweetbread,Veal,Fish,Bone_marrow,Chicken_(food),Yolk,?,?,?,?,?,?,?,?,?,Other_region
Lihapiirakka,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Baumkuchen,Butter,Flour,Sugar,Vanilla,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rumtopf,Fruit,Sugar,Rum,Fruit,Sugar,Rum,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Currywurst,Curry_ketchup,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fasolada,Olive_oil,Vegetable,Phaseolus_vulgaris,Olive_oil,Vegetable,Phaseolus_vulgaris,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hasenpfeffer,Wine,Onion,Hare,Rabbit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Strudel,Filo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pupusa,Refried_beans,Cheese,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Proja,Mineral_water,Baking_powder,Oil,Cornmeal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Giouvetsi,Bay_leaf,Beef,Meat,Pasta,Tomato_sauce,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Liver_soup,Ginger,Soy_sauce,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Turtle_soup,Turtle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bougatsa,Cheese,Ground_meat,Semolina,Filo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Jook-sing_noodles,Flour,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tuna_bun,Flour,Tuna,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Paomo,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sumaghiyyeh,Sumac,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Swiss_Wing,Ginger,Soy_sauce,Sugar,Garlic,Onion,Black_pepper,Illicium_verum,Buffalo_wing,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kouign_patatez,Flour,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kompyang,Flour,Onion,Lard,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kyselo,Sourdough,Mushroom,Caraway,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Peanut_butter_bun,Peanut_butter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tollatsch,Flour,Sugar,Gribenes,Raisin,Pork,Lebkuchen,Schmaltz,Bread_crumbs,Almond,?,?,?,?,?,?,?,?,?,?,?,Other_region
Water_chestnut_cake,Eleocharis_dulcis,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Char_siu,Soy_sauce,Sherry,Five-spice_powder,Honey,Pork,Hoisin_sauce,Huangjiu,Fermented_bean_curd,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mango_pomelo_sago,Sago,Cream,Sugar,Mango,Coconut_milk,Pomelo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
White_cut_chicken,Ginger,Scallion,Chicken,Coriander,Ginger,Scallion,Chicken,Coriander,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Buckwheat_gateau,Yogurt,Chocolate,Cranberry,Honey,Buckwheat,Whipped_cream,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Buddhas_delight,Soy_sauce,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Butter_tea,Tea,Yak_butter,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cantonese_seafood_soup,Seafood,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pigeon_pie,Columbidae,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Wonton_noodles,Flour,Shrimp,Pork,Egg_(food),Flour,Shrimp,Pork,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hujiao_bing,Soy_sauce,Scallion,Sugar,Black_pepper,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Crispy_fried_chicken,Chicken,Chicken,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lohikeitto,Salmon,Potato,Leek,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pithivier,Puff_pastry,Frangipane,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Porilainen,Ketchup,Sausage,White_bread,Onion,Mustard_(condiment),Pickled_cucumber,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ratatouille,Bell_pepper,Zucchini,Basil,Garlic,Onion,Tomato,Vegetable,Eggplant,Marjoram,?,?,?,?,?,?,?,?,?,?,?,Other_region
Stinky_tofu,Tofu,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Laba_congee,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Streusel,Butter,Flour,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Changua,Scallion,Milk,Water,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ginger_milk_curd,Ginger,Milk,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fanesca,Bean,Milk,Dried_and_salted_cod,Food_grain,Cucurbita_ficifolia,Pumpkin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Thuringian_sausage,Caraway,Garlic,Marjoram,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Duqqa,Spice,Nut_(fruit),Herb,Spice,Nut_(fruit),Herb,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pineapple_bun,Flour,Sugar,Lard,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Konkonte,Cassava,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pichelsteiner,Cabbage,Meat,Carrot,Pork,Leek,Lamb_and_mutton,Vegetable,Parsley,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tuile,Butter,Flour,Sugar,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pot-au-feu,Turnip,Beef,Cartilage,Celery,Onion,Leek,Vegetable,Bone_marrow_(food),?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chinese_steamed_eggs,Scallion,Chicken,Dried_shrimp,Century_egg,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Scallion_pancake,Scallion,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Taro_dumpling,Taro,Ground_meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Teurgoule,Cinnamon,Milk,Rice,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mykyrokka,Offal,Meat,Barley,Onion,Potato,Dumpling,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Vol-au-vent,Puff_pastry,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ching_bo_leung,Longan,Sugar,Jobs_Tears,Lotus_seed,Jujube,Seaweed,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hauskyjza,Cottage_cheese,Carum,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Leipziger_Lerche,Shortcrust_pastry,Nut_(fruit),Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Far_Breton,Flour,Milk,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kammerjunker_(biscuit),Butter,Flour,Sugar,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Oil_noodles,Salt,Sodium_benzoate,Egg_(food),Egg_white,Wheat_flour,Corn_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Welf_pudding,Milk,Vanilla,White_wine,Egg_white,Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Allerheiligenstriezel,Butter,Flour,Milk,Raisin,Shortening,Egg_(food),Bakers_yeast,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chinese_pancake,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cuban_pastry,Puff_pastry,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shlishkes,Flour,Mashed_potato,Egg_(food),Streusel,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cucurucho,Coconut,Pineapple,Guava,Sugar,Orange_(fruit),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Religieuse,Custard,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nai_lao,Rice_wine,Milk,Sugar,Raisin,Nut_(fruit),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rijstevlaai,Rice_pudding,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sachima,Butter,Flour,Rock_sugar,Rock_candy,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Dakos,Feta,Oregano,Tomato,Mizithra,Olive,Rusk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Funing_big_cake,Lard,Glutinous_rice,Vegetable_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nantong_Xiting_Cracker,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kalitsounia,Flour,Honey,Mizithra,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nuns_puffs,Butter,Flour,Honey,Milk,Sugar,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Imelletty_perunalaatikko,Potato,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Wotou,Cornflour,Soybean_flour,Millet_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Boluo_fan,Pineapple,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Migan,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hapanvelli,Pea,Potato,Rye,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ganache,Cream,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Snow_skin_mooncake,Flour,Milk,Sugar,Glutinous_rice,Vegetable_oil,Mung_bean,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Eurocrem,Milk,Hazelnut,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Karukan,Sugar,Water,Rice_flour,Red_bean_paste,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Botamochi,Rice,Red_bean_paste,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
